NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Black-chinned Emperor Tamarin,Forest,2,Decreasing,lc, MAMMALIA,
Colombian Squirrel Monkey,Forest,4,Decreasing,vu, MAMMALIA,9
Kobus kob ssp. kob,Savanna,6,Decreasing,vu, MAMMALIA,4.5
Chanler's Mountain Reedbuck,Shrubland,3,Decreasing,vu, MAMMALIA,5
Fire-bellied Wolf’s Monkey,Forest,2,Decreasing,vu, MAMMALIA,11
Red-tailed Moustached Monkey,Forest,0,Decreasing,nt, MAMMALIA,12
Grey-tailed Moustached Monkey,Forest,7,Decreasing,nt, MAMMALIA,12
Western Purple Faced Langur,Forest,3,Decreasing,cr, MAMMALIA,12
Gilbert’s Lesser Bamboo Lemur,Forest,1,Decreasing,dd, MAMMALIA,
North Pacific Harbor Seal,Marine Neritic,3,Increasing,lc, MAMMALIA,14.8
Peter's Gazelle,Grassland,2,Decreasing,en, MAMMALIA,4.9
Lomami River Wolf’s Monkey,Forest,2,Decreasing,vu, MAMMALIA,11
Blond-bellied Langur,Forest,4,Decreasing,en, MAMMALIA,
Kobus leche ssp. leche,Forest,2,Decreasing,nt, MAMMALIA,6.4
Kafue Lechwe,Grassland,4,Decreasing,en, MAMMALIA,6.4
Black Lechwe,Grassland,3,Increasing,vu, MAMMALIA,6.4
Upemba Lechwe,Grassland,1,Decreasing,cr, MAMMALIA,
Mantled Howler Monkey,Forest,2,Decreasing,en, MAMMALIA,9.79
Udzungwa Dwarf Galago,Forest,0,Decreasing,nt, MAMMALIA,
Southern Black-horned Capuchin,Forest,0,Decreasing,nt, MAMMALIA,16
Cross River Squirrel Galago,Forest,2,Decreasing,nt, MAMMALIA,4
Johnston's Mangabey,Forest,3,Decreasing,nt, MAMMALIA,13
Ugandan Crested Mangabey,Forest,0,Decreasing,vu, MAMMALIA,12.8
Northeastern Africa Cheetah,Savanna,0,Decreasing,en, MAMMALIA,4.9
Caribbean Manatee,Wetlands (inland),0,Decreasing,en, MAMMALIA,
Beisa Oryx,Savanna,3,Decreasing,en, MAMMALIA,6.1
White-nosed Moustached Monkey,Forest,6,Decreasing,en, MAMMALIA,12
Dusky Toque Macaque,Forest,3,Decreasing,en, MAMMALIA,12.5
Silvery Lutung,Forest,3,Decreasing,vu, MAMMALIA,12
Silvery Lutung,Forest,2,Decreasing,cr, MAMMALIA,12
Tarutao Island Dusky Langur,Forest,3,Decreasing,en, MAMMALIA,12
Capped Langur,Forest,2,Decreasing,en, MAMMALIA,12
Southern Ruffed Lemur,Forest,4,Decreasing,cr, MAMMALIA,6.5
Ranomafana Bamboo Lemur,Forest,2,Decreasing,vu, MAMMALIA,9
Māui Dolphin,Marine Neritic,0,Decreasing,cr, MAMMALIA,13.5
Bearded Emperor Tamarin,Forest,1,Stable,lc, MAMMALIA,
Ogilby's Duiker,Forest,1,Decreasing,vu, MAMMALIA,4.6
Common Impala,Savanna,2,Stable,lc, MAMMALIA,5.7
Bolivian Night Monkey,Forest,4,Decreasing,dd, MAMMALIA,8.3
White-belted Ruffed Lemur,Forest,4,Decreasing,cr, MAMMALIA,6.5
Northern black-horned capuchin,Forest,2,Decreasing,nt, MAMMALIA,16
Gray’s Red-bellied Tamarin,Forest,0,Stable,lc, MAMMALIA,
Western Hoolock Gibbon,Forest,0,Decreasing,vu, MAMMALIA,15
Eastern Giant Eland,Forest,5,Decreasing,vu, MAMMALIA,8
Cameroon Preuss’s Monkey,Forest,2,Decreasing,en, MAMMALIA,10
Ávila Pires’ Saddle-back Tamarin,Forest,1,Stable,lc, MAMMALIA,6
Thomas’ Red-bellied Tamarin,Forest,0,Stable,lc, MAMMALIA,
Colombian Woolly Monkey,Forest,3,Decreasing,cr, MAMMALIA,15
White-legged Duiker,Forest,1,Decreasing,nt, MAMMALIA,
Highland Slender Loris,Forest,3,Decreasing,cr, MAMMALIA,7.5
Southwestern Red Slender Loris,Forest,4,Decreasing,en, MAMMALIA,7.5
Osman-Hill’s Grey-cheeked Mangabey,Forest,2,Decreasing,dd, MAMMALIA,10
Rwenzori Red Duiker,Forest,1,Decreasing,en, MAMMALIA,4.6
Antarctic Blue Whale,Marine Oceanic,1,Increasing,cr, MAMMALIA,30.8
Brooke's Duiker,Forest,2,Decreasing,vu, MAMMALIA,4.6
Cape Mountain Zebra,Grassland,3,Increasing,lc, MAMMALIA,11
Gabon Black Colobus,Forest,3,Decreasing,vu, MAMMALIA,10
Gray’s Crowned Monkey,Forest,3,Decreasing,nt, MAMMALIA,11
